Foot,Step_length,Stride_length,Step_time,Stride_time,Swing_time,Stance_time,StrideWidth,StepWidth,StrideWidth,Supp_base,Supp_time_Single,Supp_time_Double,Stride_velocity,DsuppLoad,DsuppUnload,Ft_Length,Ft_Width
1.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.78,9.66
1.0,45.73,84.121,0.659,1.525,0.475,0.75,17.522,47.129,17.522,16.268,0.491,0.259,55.161,0.15,0.109,19.24,7.62
1.0,51.04,105.443,0.667,1.308,0.558,0.808,13.614,53.98,13.614,13.144,0.492,0.316,80.614,0.15,0.166,26.97,10.12
1.0,52.279,109.245,0.65,1.292,0.484,0.783,14.264,54.659,14.264,13.489,0.459,0.324,84.555,0.141,0.183,26.69,10.32
1.0,52.133,109.02,0.675,1.275,0.492,0.791,15.75,54.165,15.75,14.835,0.484,0.307,85.506,0.141,0.166,25.62,10.0
1.0,50.471,104.017,0.183,0.808,0.017,1.375,15.76,53.799,15.76,14.788,0.5,0.875,128.734,0.658,0.217,31.51,27.69
1.0,28.02,77.538,0.717,1.875,0.5,0.0,0.0,30.406,0.0,0.0,0.0,0.0,41.354,0.0,0.0,18.28,19.83
1.0,45.73,84.121,0.659,1.525,0.475,0.75,17.522,47.129,17.522,16.268,0.491,0.259,55.161,0.15,0.109,19.24,7.62
1.0,51.04,105.443,0.667,1.308,0.558,0.808,13.614,53.98,13.614,13.144,0.492,0.316,80.614,0.15,0.166,26.97,10.12
1.0,52.279,109.245,0.65,1.292,0.484,0.783,14.264,54.659,14.264,13.489,0.459,0.324,84.555,0.141,0.183,26.69,10.32
1.0,52.133,109.02,0.675,1.275,0.492,0.791,15.75,54.165,15.75,14.835,0.484,0.307,85.506,0.141,0.166,25.62,10.0
1.0,50.471,104.017,0.183,0.808,0.017,1.375,15.76,53.799,15.76,14.788,0.5,0.875,128.734,0.658,0.217,31.51,27.69
1.0,28.02,77.538,0.717,1.875,0.5,0.0,0.0,30.406,0.0,0.0,0.0,0.0,41.354,0.0,0.0,18.28,19.83
1.0,45.73,84.121,0.659,1.525,0.475,0.75,17.522,47.129,17.522,16.268,0.491,0.259,55.161,0.15,0.109,19.24,7.62
1.0,51.04,105.443,0.667,1.308,0.558,0.808,13.614,53.98,13.614,13.144,0.492,0.316,80.614,0.15,0.166,26.97,10.12
1.0,52.279,109.245,0.65,1.292,0.484,0.783,14.264,54.659,14.264,13.489,0.459,0.324,84.555,0.141,0.183,26.69,10.32
1.0,52.133,109.02,0.675,1.275,0.492,0.791,15.75,54.165,15.75,14.835,0.484,0.307,85.506,0.141,0.166,25.62,10.0
1.0,50.471,104.017,0.183,0.808,0.017,1.375,15.76,53.799,15.76,14.788,0.5,0.875,128.734,0.658,0.217,31.51,27.69
1.0,28.02,77.538,0.717,1.875,0.5,0.0,0.0,30.406,0.0,0.0,0.0,0.0,41.354,0.0,0.0,18.28,19.83
1.0,45.73,84.121,0.659,1.525,0.475,0.75,17.522,47.129,17.522,16.268,0.491,0.259,55.161,0.15,0.109,19.24,7.62
1.0,51.04,105.443,0.667,1.308,0.558,0.808,13.614,53.98,13.614,13.144,0.492,0.316,80.614,0.15,0.166,26.97,10.12
1.0,52.279,109.245,0.65,1.292,0.484,0.783,14.264,54.659,14.264,13.489,0.459,0.324,84.555,0.141,0.183,26.69,10.32
1.0,52.133,109.02,0.675,1.275,0.492,0.791,15.75,54.165,15.75,14.835,0.484,0.307,85.506,0.141,0.166,25.62,10.0
1.0,50.471,104.017,0.183,0.808,0.017,1.375,15.76,53.799,15.76,14.788,0.5,0.875,128.734,0.658,0.217,31.51,27.69
1.0,28.02,77.538,0.717,1.875,0.5,0.0,0.0,30.406,0.0,0.0,0.0,0.0,41.354,0.0,0.0,18.28,19.83
1.0,45.73,84.121,0.659,1.525,0.475,0.75,17.522,47.129,17.522,16.268,0.491,0.259,55.161,0.15,0.109,19.24,7.62
1.0,51.04,105.443,0.667,1.308,0.558,0.808,13.614,53.98,13.614,13.144,0.492,0.316,80.614,0.15,0.166,26.97,10.12
1.0,52.279,109.245,0.65,1.292,0.484,0.783,14.264,54.659,14.264,13.489,0.459,0.324,84.555,0.141,0.183,26.69,10.32
1.0,52.133,109.02,0.675,1.275,0.492,0.791,15.75,54.165,15.75,14.835,0.484,0.307,85.506,0.141,0.166,25.62,10.0
1.0,50.471,104.017,0.183,0.808,0.017,1.375,15.76,53.799,15.76,14.788,0.5,0.875,128.734,0.658,0.217,31.51,27.69
1.0,28.02,77.538,0.717,1.875,0.5,0.0,0.0,30.406,0.0,0.0,0.0,0.0,41.354,0.0,0.0,18.28,19.83
1.0,45.73,84.121,0.659,1.525,0.475,0.75,17.522,47.129,17.522,16.268,0.491,0.259,55.161,0.15,0.109,19.24,7.62
1.0,51.04,105.443,0.667,1.308,0.558,0.808,13.614,53.98,13.614,13.144,0.492,0.316,80.614,0.15,0.166,26.97,10.12
1.0,52.279,109.245,0.65,1.292,0.484,0.783,14.264,54.659,14.264,13.489,0.459,0.324,84.555,0.141,0.183,26.69,10.32
1.0,52.133,109.02,0.675,1.275,0.492,0.791,15.75,54.165,15.75,14.835,0.484,0.307,85.506,0.141,0.166,25.62,10.0
1.0,50.471,104.017,0.183,0.808,0.017,1.375,15.76,53.799,15.76,14.788,0.5,0.875,128.734,0.658,0.217,31.51,27.69
1.0,28.02,77.538,0.717,1.875,0.5,0.0,0.0,30.406,0.0,0.0,0.0,0.0,41.354,0.0,0.0,18.28,19.83
1.0,45.73,84.121,0.659,1.525,0.475,0.75,17.522,47.129,17.522,16.268,0.491,0.259,55.161,0.15,0.109,19.24,7.62
1.0,51.04,105.443,0.667,1.308,0.558,0.808,13.614,53.98,13.614,13.144,0.492,0.316,80.614,0.15,0.166,26.97,10.12
1.0,52.279,109.245,0.65,1.292,0.484,0.783,14.264,54.659,14.264,13.489,0.459,0.324,84.555,0.141,0.183,26.69,10.32
1.0,52.133,109.02,0.675,1.275,0.492,0.791,15.75,54.165,15.75,14.835,0.484,0.307,85.506,0.141,0.166,25.62,10.0
1.0,50.471,104.017,0.183,0.808,0.017,1.375,15.76,53.799,15.76,14.788,0.5,0.875,128.734,0.658,0.217,31.51,27.69
1.0,28.02,77.538,0.717,1.875,0.5,0.0,0.0,30.406,0.0,0.0,0.0,0.0,41.354,0.0,0.0,18.28,19.83
1.0,45.73,84.121,0.659,1.525,0.475,0.75,17.522,47.129,17.522,16.268,0.491,0.259,55.161,0.15,0.109,19.24,7.62
1.0,51.04,105.443,0.667,1.308,0.558,0.808,13.614,53.98,13.614,13.144,0.492,0.316,80.614,0.15,0.166,26.97,10.12
1.0,52.279,109.245,0.65,1.292,0.484,0.783,14.264,54.659,14.264,13.489,0.459,0.324,84.555,0.141,0.183,26.69,10.32
1.0,52.133,109.02,0.675,1.275,0.492,0.791,15.75,54.165,15.75,14.835,0.484,0.307,85.506,0.141,0.166,25.62,10.0
1.0,50.471,104.017,0.183,0.808,0.017,1.375,15.76,53.799,15.76,14.788,0.5,0.875,128.734,0.658,0.217,31.51,27.69
1.0,28.02,77.538,0.717,1.875,0.5,0.0,0.0,30.406,0.0,0.0,0.0,0.0,41.354,0.0,0.0,18.28,19.83
1.0,45.73,84.121,0.659,1.525,0.475,0.75,17.522,47.129,17.522,16.268,0.491,0.259,55.161,0.15,0.109,19.24,7.62
1.0,51.04,105.443,0.667,1.308,0.558,0.808,13.614,53.98,13.614,13.144,0.492,0.316,80.614,0.15,0.166,26.97,10.12
1.0,52.279,109.245,0.65,1.292,0.484,0.783,14.264,54.659,14.264,13.489,0.459,0.324,84.555,0.141,0.183,26.69,10.32
1.0,52.133,109.02,0.675,1.275,0.492,0.791,15.75,54.165,15.75,14.835,0.484,0.307,85.506,0.141,0.166,25.62,10.0
1.0,50.471,104.017,0.183,0.808,0.017,1.375,15.76,53.799,15.76,14.788,0.5,0.875,128.734,0.658,0.217,31.51,27.69
1.0,28.02,77.538,0.717,1.875,0.5,0.0,0.0,30.406,0.0,0.0,0.0,0.0,41.354,0.0,0.0,18.28,19.83
1.0,45.73,84.121,0.659,1.525,0.475,0.75,17.522,47.129,17.522,16.268,0.491,0.259,55.161,0.15,0.109,19.24,7.62
1.0,51.04,105.443,0.667,1.308,0.558,0.808,13.614,53.98,13.614,13.144,0.492,0.316,80.614,0.15,0.166,26.97,10.12
1.0,52.279,109.245,0.65,1.292,0.484,0.783,14.264,54.659,14.264,13.489,0.459,0.324,84.555,0.141,0.183,26.69,10.32
1.0,52.133,109.02,0.675,1.275,0.492,0.791,15.75,54.165,15.75,14.835,0.484,0.307,85.506,0.141,0.166,25.62,10.0
1.0,50.471,104.017,0.183,0.808,0.017,1.375,15.76,53.799,15.76,14.788,0.5,0.875,128.734,0.658,0.217,31.51,27.69
1.0,28.02,77.538,0.717,1.875,0.5,0.0,0.0,30.406,0.0,0.0,0.0,0.0,41.354,0.0,0.0,18.28,19.83
1.0,45.73,84.121,0.659,1.525,0.475,0.75,17.522,47.129,17.522,16.268,0.491,0.259,55.161,0.15,0.109,19.24,7.62
1.0,51.04,105.443,0.667,1.308,0.558,0.808,13.614,53.98,13.614,13.144,0.492,0.316,80.614,0.15,0.166,26.97,10.12
1.0,52.279,109.245,0.65,1.292,0.484,0.783,14.264,54.659,14.264,13.489,0.459,0.324,84.555,0.141,0.183,26.69,10.32
1.0,52.133,109.02,0.675,1.275,0.492,0.791,15.75,54.165,15.75,14.835,0.484,0.307,85.506,0.141,0.166,25.62,10.0
1.0,50.471,104.017,0.183,0.808,0.017,1.375,15.76,53.799,15.76,14.788,0.5,0.875,128.734,0.658,0.217,31.51,27.69
1.0,28.02,77.538,0.717,1.875,0.5,0.0,0.0,30.406,0.0,0.0,0.0,0.0,41.354,0.0,0.0,18.28,19.83
1.0,45.73,84.121,0.659,1.525,0.475,0.75,17.522,47.129,17.522,16.268,0.491,0.259,55.161,0.15,0.109,19.24,7.62
1.0,51.04,105.443,0.667,1.308,0.558,0.808,13.614,53.98,13.614,13.144,0.492,0.316,80.614,0.15,0.166,26.97,10.12
1.0,52.279,109.245,0.65,1.292,0.484,0.783,14.264,54.659,14.264,13.489,0.459,0.324,84.555,0.141,0.183,26.69,10.32
1.0,52.133,109.02,0.675,1.275,0.492,0.791,15.75,54.165,15.75,14.835,0.484,0.307,85.506,0.141,0.166,25.62,10.0
1.0,50.471,104.017,0.183,0.808,0.017,1.375,15.76,53.799,15.76,14.788,0.5,0.875,128.734,0.658,0.217,31.51,27.69
1.0,28.02,77.538,0.717,1.875,0.5,0.0,0.0,30.406,0.0,0.0,0.0,0.0,41.354,0.0,0.0,18.28,19.83
1.0,45.73,84.121,0.659,1.525,0.475,0.75,17.522,47.129,17.522,16.268,0.491,0.259,55.161,0.15,0.109,19.24,7.62
1.0,51.04,105.443,0.667,1.308,0.558,0.808,13.614,53.98,13.614,13.144,0.492,0.316,80.614,0.15,0.166,26.97,10.12
1.0,52.279,109.245,0.65,1.292,0.484,0.783,14.264,54.659,14.264,13.489,0.459,0.324,84.555,0.141,0.183,26.69,10.32
1.0,52.133,109.02,0.675,1.275,0.492,0.791,15.75,54.165,15.75,14.835,0.484,0.307,85.506,0.141,0.166,25.62,10.0
1.0,50.471,104.017,0.183,0.808,0.017,1.375,15.76,53.799,15.76,14.788,0.5,0.875,128.734,0.658,0.217,31.51,27.69
1.0,28.02,77.538,0.717,1.875,0.5,0.0,0.0,30.406,0.0,0.0,0.0,0.0,41.354,0.0,0.0,18.28,19.83
1.0,45.73,84.121,0.659,1.525,0.475,0.75,17.522,47.129,17.522,16.268,0.491,0.259,55.161,0.15,0.109,19.24,7.62
1.0,51.04,105.443,0.667,1.308,0.558,0.808,13.614,53.98,13.614,13.144,0.492,0.316,80.614,0.15,0.166,26.97,10.12
1.0,52.279,109.245,0.65,1.292,0.484,0.783,14.264,54.659,14.264,13.489,0.459,0.324,84.555,0.141,0.183,26.69,10.32
1.0,52.133,109.02,0.675,1.275,0.492,0.791,15.75,54.165,15.75,14.835,0.484,0.307,85.506,0.141,0.166,25.62,10.0
1.0,50.471,104.017,0.183,0.808,0.017,1.375,15.76,53.799,15.76,14.788,0.5,0.875,128.734,0.658,0.217,31.51,27.69
1.0,28.02,77.538,0.717,1.875,0.5,0.0,0.0,30.406,0.0,0.0,0.0,0.0,41.354,0.0,0.0,18.28,19.83
1.0,45.73,84.121,0.659,1.525,0.475,0.75,17.522,47.129,17.522,16.268,0.491,0.259,55.161,0.15,0.109,19.24,7.62
1.0,51.04,105.443,0.667,1.308,0.558,0.808,13.614,53.98,13.614,13.144,0.492,0.316,80.614,0.15,0.166,26.97,10.12
1.0,52.279,109.245,0.65,1.292,0.484,0.783,14.264,54.659,14.264,13.489,0.459,0.324,84.555,0.141,0.183,26.69,10.32
1.0,52.133,109.02,0.675,1.275,0.492,0.791,15.75,54.165,15.75,14.835,0.484,0.307,85.506,0.141,0.166,25.62,10.0
1.0,50.471,104.017,0.183,0.808,0.017,1.375,15.76,53.799,15.76,14.788,0.5,0.875,128.734,0.658,0.217,31.51,27.69
1.0,28.02,77.538,0.717,1.875,0.5,0.0,0.0,30.406,0.0,0.0,0.0,0.0,41.354,0.0,0.0,18.28,19.83
1.0,45.73,84.121,0.659,1.525,0.475,0.75,17.522,47.129,17.522,16.268,0.491,0.259,55.161,0.15,0.109,19.24,7.62
1.0,51.04,105.443,0.667,1.308,0.558,0.808,13.614,53.98,13.614,13.144,0.492,0.316,80.614,0.15,0.166,26.97,10.12
1.0,52.279,109.245,0.65,1.292,0.484,0.783,14.264,54.659,14.264,13.489,0.459,0.324,84.555,0.141,0.183,26.69,10.32
1.0,52.133,109.02,0.675,1.275,0.492,0.791,15.75,54.165,15.75,14.835,0.484,0.307,85.506,0.141,0.166,25.62,10.0
1.0,50.471,104.017,0.183,0.808,0.017,1.375,15.76,53.799,15.76,14.788,0.5,0.875,128.734,0.658,0.217,31.51,27.69
1.0,28.02,77.538,0.717,1.875,0.5,0.0,0.0,30.406,0.0,0.0,0.0,0.0,41.354,0.0,0.0,18.28,19.83
1.0,45.73,84.121,0.659,1.525,0.475,0.75,17.522,47.129,17.522,16.268,0.491,0.259,55.161,0.15,0.109,19.24,7.62
1.0,51.04,105.443,0.667,1.308,0.558,0.808,13.614,53.98,13.614,13.144,0.492,0.316,80.614,0.15,0.166,26.97,10.12
1.0,52.279,109.245,0.65,1.292,0.484,0.783,14.264,54.659,14.264,13.489,0.459,0.324,84.555,0.141,0.183,26.69,10.32
1.0,52.133,109.02,0.675,1.275,0.492,0.791,15.75,54.165,15.75,14.835,0.484,0.307,85.506,0.141,0.166,25.62,10.0
1.0,50.471,104.017,0.183,0.808,0.017,1.375,15.76,53.799,15.76,14.788,0.5,0.875,128.734,0.658,0.217,31.51,27.69
1.0,28.02,77.538,0.717,1.875,0.5,0.0,0.0,30.406,0.0,0.0,0.0,0.0,41.354,0.0,0.0,18.28,19.83
1.0,45.73,84.121,0.659,1.525,0.475,0.75,17.522,47.129,17.522,16.268,0.491,0.259,55.161,0.15,0.109,19.24,7.62
1.0,51.04,105.443,0.667,1.308,0.558,0.808,13.614,53.98,13.614,13.144,0.492,0.316,80.614,0.15,0.166,26.97,10.12
1.0,52.279,109.245,0.65,1.292,0.484,0.783,14.264,54.659,14.264,13.489,0.459,0.324,84.555,0.141,0.183,26.69,10.32
1.0,52.133,109.02,0.675,1.275,0.492,0.791,15.75,54.165,15.75,14.835,0.484,0.307,85.506,0.141,0.166,25.62,10.0
1.0,50.471,104.017,0.183,0.808,0.017,1.375,15.76,53.799,15.76,14.788,0.5,0.875,128.734,0.658,0.217,31.51,27.69
1.0,28.02,77.538,0.717,1.875,0.5,0.0,0.0,30.406,0.0,0.0,0.0,0.0,41.354,0.0,0.0,18.28,19.83
